Iterations,Seconds,Score
15350000,1512849368,14.137106
15360000,1512849368,14.137106
15370000,1512849368,14.137106
15380000,1512849368,14.137106
15390000,1512849368,14.134118
15400000,1512849369,14.134118
15410000,1512849369,14.134118
15420000,1512849369,14.134118
15430000,1512849369,14.134118
15440000,1512849370,14.133353
15450000,1512849370,14.132866
15460000,1512849370,14.132866
15470000,1512849370,14.132866
15480000,1512849370,14.132866
15490000,1512849371,14.132866
15500000,1512849371,14.132866
15510000,1512849371,14.132866
15520000,1512849371,14.132866
15530000,1512849372,14.132866
15540000,1512849372,14.123804
15550000,1512849372,14.123804
15560000,1512849372,14.120322
15570000,1512849372,14.120322
15580000,1512849373,14.120322
15590000,1512849373,14.120322
15600000,1512849373,14.116676
15610000,1512849373,14.116676
15620000,1512849374,14.116676
15630000,1512849374,14.116676
15640000,1512849374,14.110951
15650000,1512849374,14.110596
15660000,1512849374,14.110596
15670000,1512849375,14.110596
15680000,1512849375,14.110596
15690000,1512849375,14.110596
15700000,1512849375,14.110596
15710000,1512849376,14.110596
15720000,1512849376,14.110596
15730000,1512849376,14.110596
15740000,1512849376,14.110596
15750000,1512849376,14.110596
15760000,1512849377,14.110142
15770000,1512849377,14.110142
15780000,1512849377,14.110142
15790000,1512849377,14.110142
15800000,1512849378,14.110142
15810000,1512849378,14.110142
15820000,1512849378,14.110142
15830000,1512849378,14.110142
15840000,1512849378,14.110142
15850000,1512849379,14.110142
15860000,1512849379,14.110142
15870000,1512849379,14.109900
15880000,1512849379,14.109900
15890000,1512849380,14.109900
15900000,1512849380,14.108734
15910000,1512849380,14.108734
15920000,1512849380,14.108734
15930000,1512849380,14.106772
15940000,1512849381,14.106772
15950000,1512849381,14.106772
15960000,1512849381,14.106772
15970000,1512849381,14.105259
15980000,1512849382,14.105259
15990000,1512849382,14.105259
16000000,1512849382,14.105259
16010000,1512849382,14.105259
16020000,1512849382,14.104811
16030000,1512849383,14.104811
16040000,1512849383,14.104811
16050000,1512849383,14.104811
16060000,1512849383,14.104811
16070000,1512849384,14.104811
16080000,1512849384,14.104811
16090000,1512849384,14.104811
16100000,1512849384,14.104811
16110000,1512849384,14.104811
16120000,1512849385,14.104811
16130000,1512849385,14.104811
16140000,1512849385,14.102723
16150000,1512849385,14.102723
16160000,1512849385,14.102723
16170000,1512849386,14.102723
16180000,1512849386,14.100923
16190000,1512849386,14.100923
16200000,1512849386,14.100923
16210000,1512849387,14.100923
16220000,1512849387,14.100923
16230000,1512849387,14.100923
16240000,1512849387,14.100923
16250000,1512849387,14.100923
16260000,1512849388,14.100923
16270000,1512849388,14.095728
16280000,1512849388,14.095728
16290000,1512849388,14.095728
16300000,1512849389,14.092607
16310000,1512849389,14.092607
16320000,1512849389,14.092607
16330000,1512849389,14.092607
16340000,1512849389,14.092607
16350000,1512849390,14.092607
16360000,1512849390,14.092607
16370000,1512849390,14.091318
16380000,1512849391,14.091318
16390000,1512849391,14.091318
16400000,1512849391,14.088835
16410000,1512849391,14.088835
16420000,1512849391,14.088835
16430000,1512849391,14.085626
16440000,1512849392,14.085626
16450000,1512849392,14.085626
16460000,1512849392,14.085626
16470000,1512849393,14.085416
16480000,1512849393,14.085416
16490000,1512849393,14.083789
16500000,1512849393,14.083789
16510000,1512849393,14.083789
16520000,1512849394,14.083789
16530000,1512849394,14.083789
16540000,1512849394,14.071111
16550000,1512849394,14.071111
16560000,1512849395,14.071111
16570000,1512849395,14.071111
16580000,1512849395,14.071111
16590000,1512849395,14.062094
16600000,1512849395,14.062094
16610000,1512849396,14.062094
16620000,1512849396,14.062094
16630000,1512849396,14.062094
16640000,1512849396,14.062094
16650000,1512849397,14.057017
16660000,1512849397,14.057017
16670000,1512849397,14.057017
16680000,1512849397,14.056976
16690000,1512849397,14.054824
16700000,1512849398,14.054824
16710000,1512849398,14.045309
16720000,1512849398,14.045309
16730000,1512849398,14.045309
16740000,1512849398,14.045309
16750000,1512849399,14.045309
16760000,1512849399,14.045309
16770000,1512849399,14.045309
16780000,1512849399,14.045309
16790000,1512849400,14.045309
16800000,1512849400,14.045309
16810000,1512849400,14.045309
16820000,1512849400,14.045309
16830000,1512849400,14.045309
16840000,1512849401,14.045309
16850000,1512849401,14.045309
16860000,1512849401,14.045309
16870000,1512849401,14.045309
16880000,1512849402,14.045309
16890000,1512849402,14.045309
16900000,1512849402,14.041036
16910000,1512849402,14.041036
16920000,1512849402,14.041036
16930000,1512849403,14.041036
16940000,1512849403,14.041036
16950000,1512849403,14.039178
16960000,1512849403,14.038674
16970000,1512849404,14.038674
16980000,1512849404,14.038674
16990000,1512849404,14.038674
17000000,1512849404,14.038674
17010000,1512849404,14.036700
17020000,1512849405,14.036700
